id,name
1,placidyl cap
2,nembutal sodium cap
3,erythrocin iv
4,nembutal sodium inj
5,erythrocin liquid
6,colchicine tab
7,erythrocin filmtab
8,duretic
9,isopto carbachol
10,isopto homatropine
11,isopto tears
12,isopto carpine
13,isopto carpine
14,isopto carpine liq
15,mydriacyl
16,chloroptic dps
17,epifrin
18,herplex
19,albalon
20,ophthetic
21,bleph dps
22,herplex
23,chloroptic oph
24,xylocaine viscous
25,xylocaine jelly
26,xylocaine
27,xylocaine w epinephrine
28,jectofer
29,xylocard
30,xylocaine oral spray
31,xylocaine ointment
32,penbritin cap
33,atromid cap
34,orbenin cap
35,premarin gm
36,penbritin inj
37,orbenin inj
38,penicillin g potassium inj iu
39,penicillin g sodium inj iu
40,protopam chloride inj gm
41,premarin inj
42,apl inj iu
43,ayercillin suspension
44,penbritin pws
45,orbenin pwr
46,avlosulfon tab
47,antabuse tab gm
48,premarin tablets
49,mysoline tab
50,mysoline primidone tablets
51,radiostol cap iu
52,propaderm cream
53,entacyl granules gm
54,amylnitrite glass cap min
55,radiostol solution iu
56,entacyl susp gm
57,carbachol tab
58,stilboestrol tab
59,alupent liq
60,dulcolax
61,alupent tab
62,ampicin injection
63,ampicin inj
64,ampicin inj gm
65,kemadrin elx
66,aerosporin sterile powder
67,marzine inj
68,lanoxin inj pediatric
69,lanoxin inj
70,vasoxyl inj
71,sudafed syr
72,zyloprim
73,imuran
74,myleran
75,leukeran
76,lanoxin tab
77,alkeran
78,purinethol
79,kemadrin tab
80,sudafed tab
81,daraprim
82,quinidine sulfate tab
83,polysporin topical first aid antibiotic ointment
84,locacorten
85,vioform
86,rogitine vial
87,ismelin
88,apresoline tablets
89,ritalin
90,metandren
91,serpasil
92,oestrilin creme vaginale
93,rubion
94,oestrilin cones vaginaux
95,choloxin tablet
96,ostoforte
97,leritine inj
98,papaverine hydrochloride injection usp
99,megacillin sus
100,leritine tablets
101,tab
102,thyracil
103,warfilone tab
104,entrophen tablets
105,entrophen ect
106,sintrom
107,tegretol
108,hygroton
109,pertofrane
110,tofranil
111,anturan
112,betnovate
113,betnovate
114,betnesol eye ear drops
115,betnesol retention enemas
116,grisovin fp tab
117,eltroxin tab
118,bacitracin unitgm
119,surfak
120,reverin
121,lasix tabs
122,diabeta
123,orinase gm
124,dalmane
125,matulane
126,valium inj roche
127,fluorouracil injection
128,valium tab
129,procytox vial
130,gravol iv ampoules
131,gravol im
132,honvol ampoules
133,gravol junior suppositories
134,gravol suppositories
135,ovol drops
136,univol suspension
137,atasol forte tab
138,procytox tablets
139,vivol
140,honvol tablets
141,gravol tablets
142,ovol tablets chewable
143,diovol tablets
144,mobenol tablets
145,paraffinol
146,minocin cap
147,achromycin v cap
148,aristocort r
149,aristocort c
150,artane elx
151,folvite inj
152,aristocort inj intralesional
153,aristocort forte inj
154,nilstat oral dps iu
155,aristocort syr
156,methotrexate tab
157,aminophylline tab gm
158,temposil tab
159,folvite tab
160,nilstat orl tab unit
161,ledercillin vk tab unit
162,aristocort tab
163,artane tab
164,nilstat vag tab unit
165,aureomycin oph
166,achromycin oph
167,aureomycin
168,amytal sodium cap
169,amytal sodium pulvule gm
170,ilosone pulvule
171,aventyl
172,seconal sodium pulvule gm
173,amytal sodium
174,keflin neutral inj gm
175,glucagon ampoule
176,iycin gluceptate iv ampoule gm
177,sterile vancomycin hydrochloride usp
178,velbe
179,ilosone liquid
180,keflex
181,dimelor tablet
182,ergotrate maleate tablet
183,tapazole
184,v cillin k tablet
185,iycin cryst op
186,indocid cap
187,cuprimine
188,mustargen
189,cogentin inj
190,aldomet ester hcl inj
191,decadron phosphate eye ear sol
192,indocid sup
193,cortone sus
194,elavil pamoate syr
195,periactin syr
196,elavil tablet
197,cogentin tab
198,cortone tab
199,periactin tab
200,decadron tab
201,edecrin tab
202,hydrodiuril tab
203,aldomet tab
204,benemid tab
205,haldol injection
206,ferinsol drops
207,clomid
208,nadopen v
209,nadopen v tab iu
210,neo codema
211,neo mens tab
212,ampicillin
213,chlorhydrate
214,chlorocap
215,poxide
216,rythro
217,pentobarb
218,quinine
219,secobarb
220,tetra
221,vitamin cap iu
222,penvk
223,chloroquine
224,pheniram
225,chlorpromazine
226,propamide
227,digoxin
228,dimenate
229,travel tab
230,fumar
231,folacid
232,hydrochlorothiazide
233,pramine
234,mepro
235,nidazol
236,furan
237,butazone
238,prednisolone
239,prednisone
240,quinidin
241,reserpine
242,soxazole
243,butamide
244,flurazine
245,trifluzine
246,hexidyl
247,ferrosulfa
248,cortrosyn inj
